chapter_no,chapter_title,card_no_in_chapter,theme_title,category,tags,card_variant,recommended_time,title,key_idea,explanation,exercise_steps_json,duration_seconds,difficulty,status,tags_curated,pack,is_free_top300
45,"EXPERIENTE CARE INCA , NUAUNUME",16,Ideea / Totul / Trebui,Rutină & Disciplină,ideea|totul|trebui|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Ideea / Totul / Trebui,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: ideea, totul, trebui. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
67,LUCRURI PE CARE E BINE SALEEVITI INTRE 20 SI 30 DEANI,12,Ceva / Gasi / Lasa,Anxietate & Stres,ceva|gasi|lasa|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Ceva / Gasi / Lasa,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: ceva, gasi, lasa, frica, definitiv, sate. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
64,CEL MAI MARE TABU DIN CULTURA NOASTRA ESTE ONESTITATEA RADICALA. SI EXACT ASTA E  PROBLEMA,28,Voie / Faca / Auzita,Rutină & Disciplină,voie|faca|auzita|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Voie / Faca / Auzita,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: voie, faca, auzita, sfarsit. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
18,ZECE LUCRURI DESPRE PE CARE TREBUIE SA LE,7,Frica / Vrea / Pare,Anxietate & Stres,frica|vrea|pare|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Frica / Vrea / Pare,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: frica, vrea, pare, greu, crezut, emotia. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|emotii|prezenta,AM,1
98,PUTEREA GAND IRII NEGATIVE,3,Idee / Buna / Lini,Rutină & Disciplină,idee|buna|lini|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Idee / Buna / Lini,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: idee, buna, lini, grea, ceva, pofi. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
86,NU TOTI TE VOR IUBI INTR-UNMOD PE CARE SA IL INTELEGI,1,Mare / Parte / Daca,Anxietate & Stres,mare|parte|daca|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Mare / Parte / Daca,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: mare, parte, daca, tensiunea, transforma, divergente. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfec","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
20,CE OBIECTIVE SA-TI  PROPUI CASATEPOTIBUCURA DE CE AI IN LOC SA ALERGI DUPA CE-TI  LIPSESTE,17,Bani / Tale / Tiga,Rutină & Disciplină,bani|tale|tiga|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Bani / Tale / Tiga,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: bani, tale, tiga, daca, tine, toate. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
64,CEL MAI MARE TABU DIN CULTURA NOASTRA ESTE ONESTITATEA RADICALA. SI EXACT ASTA E  PROBLEMA,26,Legat / Nimic / Afara,Anxietate & Stres,legat|nimic|afara|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Legat / Nimic / Afara,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: legat, nimic, afara, propria, frica, gasi. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
27,Fil CONECTAT CU TINE MANTRE CARE ITI VOR REAMINTI CA VIATA TA  SE PETRECE CHIAR,3,Ceea / Faci / Acum,Rutină & Disciplină,ceea|faci|acum|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Ceea / Faci / Acum,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: ceea, faci, acum, ceva, totul, iata. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
91,CELE MAI COMUNE CINCISPREZECE TIPURI DEGANDIRE DISTORSIONATA,24,Acest / Lucru / Face,Anxietate & Stres,acest|lucru|face|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Acest / Lucru / Face,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: acest, lucru, face, multa, presiune, oameni. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|decizii|prezenta|claritate,AM,1
72,ARTA CONSTIENTIZARII. SAU CUM SA NU TE,34,Daca / Pofi / Faci,Rutină & Disciplină,daca|pofi|faci|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Daca / Pofi / Faci,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: daca, pofi, faci, pasa, corp, frumos. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
21,102 MODURI PRIN CARE SANULASI GANDURILE !RATIONALE SA-TI STRI CE VIATA,89,Frica / Seama / Arata,Anxietate & Stres,frica|seama|arata|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Frica / Seama / Arata,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: frica, seama, arata, ceva, puternic, merita. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,anxietate|stres|frica|decizii|prezenta|claritate,AM,1
44,EXISTA O VOCE CARE NU FOLOSESTE CUVINTE. IATA CUM SAO ASCULTI,11,Aceea / Bine / Uneori,Rutină & Disciplină,aceea|bine|uneori|claritate|actiune|obiceiuri,ACTION,AM,Acțiune: Aceea / Bine / Uneori,"Execută un pas mic, repetabil, care reduce fricțiunea și îți crește inerția.","Progresul vine din repetare și măsură, nu din impuls. În acest capitol, tema se învârte în jurul: aceea, bine, uneori, ratacesti. Progresul apare când reduci zgomotul și iei decizii concrete, nu când cauți perfecțiunea.","[""Notează pe scurt ce te blochează acum (1 propoziție)."", ""Alege versiunea minimă (2–5 minute)."", ""Programează azi și bifează execuția.""]",120,easy,published,disciplina|rutina|decizii|obiceiuri|claritate,AM,1
